Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,company_type
2197,Cars24,Gurugram,other,Haryana,India,Asia,200,2025-04-26,,,,Transportation,Series G,1300.0,2025,28.4646148,77.0299194,Service
2201,Zopper,Noida,other,Uttar Pradesh,India,Asia,100,2025-04-27,,,,Finance,Series D,125.0,2025,28.5706333,77.3272147,Service
2211,GenWise,New Delhi,other,Delhi,India,Asia,15,2025-05-05,20.0,75.0,60.0,Other,Seed,3.0,2025,28.6138954,77.2090057,Service
2222,Otipy,New Delhi,other,Delhi,India,Asia,300,2025-05-23,100.0,300.0,0.0,Food,Series B,44.0,2025,28.6138954,77.2090057,Service
2227,Cars24,Gurugram,other,Haryana,India,Asia,120,2025-05-27,,,,Transportation,Series G,1300.0,2025,28.4646148,77.0299194,Service
2230,VerSe Innovation copy,Bengaluru,other,Karnataka,India,Asia,350,2025-05-28,,,,Media,Series J,1700.0,2025,12.98815675,77.62260004,Service
2276,TCS,Mumbai,other,Maharashtra,India,Asia,12000,2025-07-27,2.0,600000.0,588000.0,IT Services and IT Consulting,,,2025,19.0785451,72.878176,Service
2277,Krutrim,Bengaluru,other,Karnataka,India,Asia,100,2025-07-28,,,,AI. made in India. for the world.,,,2025,12.98815675,77.62260004,Service
2295,Oracle,Bengaluru,other,Karnataka,India,Asia,3000,2025-08-22,,,,Cloud technology,,,2025,12.98815675,77.62260004,Service
2299,Krutrim,Bengaluru,other,Karnataka,India,Asia,50,2025-09-01,,,,AI,,,2025,12.98815675,77.62260004,Service
2300,Mobile Premier League,Bengaluru,other,Karnataka,India,Asia,300,2025-09-01,,,,Gaming,,,2025,12.98815675,77.62260004,Service
2301,Games 24x7,Mumbai,other,Maharashtra,India,Asia,400,2025-09-01,,,,Gaming,,,2025,19.0785451,72.878176,Service
2307,Head Digital Works,Hyderabad,other,Telangana,India,Asia,500,2025-09-04,,,,Online Gaming,,,2025,17.42124912,78.38876713,Service
2309,Bobble AI,Gurugram,other,Haryana,India,Asia,50,2025-09-04,,,,Conversation Media Platform,,,2025,28.4646148,77.0299194,Service
2318,Zupee,Gurugram,other,Haryana,India,Asia,170,2025-09-11,30.0,567.0,397.0,Entertainment Providers,,,2025,28.4646148,77.0299194,Service
2328,Gameskraft,Bengaluru,other,Karnataka,India,Asia,120,2025-09-18,,,,Online gaming,,,2025,12.98815675,77.62260004,Service
2332,Simpl,Bengaluru,other,Karnataka,India,Asia,80,2025-10-01,,,,Consumer Services,,,2025,12.98815675,77.62260004,Service
2352,Zepto,Bengaluru,other,Karnataka,India,Asia,150,2025-10-29,,,,Technology. Information and Internet,,,2025,12.98815675,77.62260004,Service
2359,Porter,Bengaluru,other,Karnataka,India,Asia,350,2025-11-04,18.0,1944.0,1594.0,Logistic,,,2025,12.98815675,77.62260004,Service
2365,GamesKraft,Bengaluru,other,Karnataka,India,Asia,280,2025-11-10,,,,Online Gaming,,,2025,12.98815675,77.62260004,Service
2391,TCS,Mumbai,other,Maharashtra,India,Asia,365,2025-12-01,,,,IT Services and IT Consulting,,,2025,19.0785451,72.878176,Service
